CityName,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Zhengfang,28.701,117.8892,284.94,86,91,0.82
Patancheru,17.5314,78.265,294.52,68,0,2.57
Moiseyevichi,53.215,28.2852,255.37,94,0,1.65
Filótas,40.6333,21.7,267.15,53,4,3.09
Sedatiagung,-7.3819,112.7581,297.15,94,20,3.09
Neresnytsya,48.1181,23.7659,268.15,74,90,1.54
Thenzawl,23.3167,92.75,282.92,58,0,1.31
Quebiauan,15.0333,120.6833,296.15,83,75,1.03
Jvara,41.5251,44.3472,277.15,93,90,1.03
Noyakert,39.8312,44.669,280.15,61,0,1.54
Changjie,29.25,121.705,281.72,71,75,1.0
Malabanban Norte,13.9333,121.4667,297.04,87,71,1.79
Meningie,-35.7,139.3333,293.71,53,4,2.25
Kapotnya,55.6433,37.8031,250.75,77,0,1.81
Tsant,46.1833,106.7167,255.18,84,100,3.86
Altay,47.8667,88.1167,264.48,68,0,1.3
Yuanbuzi,39.8222,112.5343,263.58,66,0,11.0
Zubovo,60.318,36.9728,255.48,93,84,2.98
Unirea,44.15,23.1833,271.02,58,0,2.06
Glazkovo,56.2667,35.95,250.62,90,0,2.18
Filiatrá,37.15,21.5833,277.15,38,31,2.57
Teshikaga,43.4836,144.4561,275.0,86,100,8.84
Shimane-ken,35.0769,132.5611,274.86,83,86,7.79
Vasco da Gama,15.3959,73.8157,297.15,83,20,3.6
Southern District,-25.0,25.0,295.73,46,15,3.05
Boldeşti-Scăeni,45.0333,26.0333,268.15,74,22,1.42
Same,-4.0667,37.7333,294.83,73,100,2.46
Lukino,56.4418,43.6293,251.31,77,0,2.52
Ambunti,-4.2365,142.8448,296.0,97,85,0.78
Moshenskoye,58.5102,34.5911,253.76,92,37,3.42
Ayvazovskaya,45.05,35.3833,269.58,92,91,4.11
Hengjian,39.273,113.8802,266.12,72,0,12.94
Ural’skiy,57.9399,55.5509,253.15,84,75,4.0
Oborishte,42.5167,24.0833,265.87,80,75,7.2
Gunnaur,28.25,78.4333,288.84,43,0,2.38
Medak,18.0333,78.2667,294.82,44,0,1.34
Habboûch,33.4075,35.4828,284.84,59,40,2.57
White Nile,13.5,32.4,301.45,15,0,4.49
Urla,38.3229,26.764,277.53,56,40,12.35
Gharo,24.7424,67.5856,293.15,83,40,2.06
Chonglan,22.6926,120.485,291.13,94,75,1.03
Steklozavod,56.3397,44.0872,251.31,77,0,2.25
Ciucurova,44.9333,28.4833,269.2,80,60,5.66
Slavyansk-na-Kubani,45.2519,38.1181,267.59,63,100,3.0
Yielima,-35.9333,145.2167,293.71,58,30,3.25
Devarkonda,16.7,78.9333,293.32,47,0,1.31
Badrābād-e `Olyā,33.4294,48.2794,285.89,40,37,2.3
Jaffa,32.0504,34.7522,285.48,76,0,2.06
Shitanjing,39.2342,106.3439,270.23,71,0,2.43
Akune,32.0167,130.2,278.15,70,75,4.63
Domvraína,38.25,22.9833,273.16,59,27,4.02
Makhoshepolyana,44.4556,40.2994,265.0,99,100,2.07
Tagbacan Ibaba,13.6322,122.3639,295.6,86,29,2.75
Góra Ropczycka,50.0544,21.6865,266.31,100,100,2.06
Binuangan,8.9153,124.7883,298.71,88,35,4.92
Burueneşti,45.3167,26.35,263.09,90,64,4.47
Nizhniy Novgorod,56.3287,44.002,251.31,77,0,2.23
Hoedspruit,-24.3512,30.9533,296.15,94,99,6.17
Mount Darwin,-16.7725,31.5838,294.59,79,99,2.37
Xihe,31.6864,113.4659,279.02,65,56,1.8
Rāth,25.5833,79.5667,289.56,45,27,1.85
Xihe,31.6864,113.4659,279.02,65,56,1.8
Ar Rayyān,25.2919,51.4244,291.31,82,0,1.54
Ustrem,42.0167,26.4667,273.15,74,75,5.14
Hetian,25.667,116.4154,284.43,77,0,1.12
Bambang,16.3833,121.1,292.5,85,100,1.01
Achit,56.7985,57.8994,250.82,90,81,2.0
Snegiri,55.8887,37.0242,253.15,77,0,2.0
Siswā Bāzār,27.15,83.7667,285.15,100,1,0.29
Erzurum,40.0,41.5,279.15,61,75,1.54
Enrique Villanueva,9.2761,123.6468,299.15,89,90,2.06
Buduran,-7.4281,112.7234,297.15,94,20,3.09
Gīdam,18.9833,81.4,291.22,45,0,0.77
Shadaogou,29.6939,109.5564,281.48,92,95,0.69
Vugrinivka,49.55,27.95,258.75,95,84,3.24
Inzhavino,52.3185,42.4937,250.21,90,0,1.77
Andzhiyevskiy,44.23,43.08,268.15,93,90,4.0
Huangzhuang,39.4817,117.5136,271.1,80,0,3.0
Pryamoy Put’,43.2361,76.7608,270.15,93,20,2.0
Posio,66.1086,28.1719,262.15,85,90,3.6
Mangaran,-7.6668,114.0406,298.23,84,99,2.12
Frunze,48.6686,38.7544,264.44,90,0,1.95
Virginia,37.5481,-77.4467,276.14,93,90,1.15
Al Fujairah City,25.1164,56.3414,293.15,56,0,2.57
Booleroo Centre,-32.8799,138.3507,295.37,36,37,0.45
Lesogorsk,56.0458,99.5136,253.4,91,100,3.03
Manokwari,-0.8667,134.0833,298.37,78,100,1.4
Warin Chamrap,15.1932,104.8628,291.15,88,25,1.54
Nuriootpa,-34.4833,139.0,293.51,68,100,3.28
Khudāganj,28.15,79.7167,288.29,43,47,2.43
Iernut,46.45,24.25,268.49,80,0,3.09
Bantul,-7.8881,110.3289,297.85,87,83,1.65
Bait,55.4261,89.6411,269.32,96,100,2.11
Satulung,47.5667,23.4333,268.15,74,90,1.54
Ganapi,17.2017,121.8652,293.56,88,100,1.1
Jatwāra,26.8833,76.2,290.15,55,40,2.07
Aravissós,40.84,22.2956,273.35,65,0,2.68
Bima,-8.4667,118.7167,297.12,88,89,0.82
Söğütlü,40.9059,30.4745,273.15,100,90,2.06
Dul’durga,50.6761,113.5931,246.39,83,73,2.58
Kharava,52.6333,24.5833,259.39,95,20,1.39
Muang Nalè,20.5336,101.4456,288.27,76,2,0.15
Taoyuan,32.2972,120.6167,277.22,87,99,1.85
Căpleni,47.7167,22.5,271.04,80,90,1.03
Dzierzkowice,50.9602,22.0664,268.13,93,90,1.54
Ngozi Province,-2.875,29.925,288.94,95,100,0.61
Kendenup,-34.4833,117.65,289.15,94,82,1.67
Ovsyannikovo,56.1,37.3833,253.15,77,0,2.0
Turhal,40.3875,36.0811,270.15,93,90,7.72
Nieying,39.1264,113.1331,268.15,72,37,4.03
Miass,55.045,60.1083,252.02,89,7,1.29
Surdā,31.9371,35.2032,284.69,76,0,2.06
Suponevo,53.2049,34.296,252.9,92,75,1.72
Vysokiye Lyady,54.0667,28.2,258.93,92,40,1.0
Maszkienice,49.9892,20.6866,265.01,86,63,1.48
